UID,Item,Type,Sub-type,Slots,Vendor Price,Market Price,Max,Current,Notes
f0fa8457-6638-4ad2-b7e8-4708033d8f39,Secure Flash drive (Flash drive),Barter,Info items,1,176,"56,405",5,0,2 need to be found in raid for the quest What's on the flash drive?; 3 need to be found in raid for the quest Shady business
33c15349-44e6-4553-9705-1b6417a1ad6a,SSD drive (SSD),Barter,Info items,1,350,"38,500",1,1,1 needs to be obtained for the Security level 3
160c7064-3b9d-446d-9d1a-e05bc174e73b,Trijicon REAP-IR thermal scope (REAP-IR),Sights,Special sights,2,"199,245","355,794",99,0,
62567390-95a7-4288-8ddd-fde62412bce8,T-7 Thermal Goggles with a Night Vision mount (T-7),Sights,Special sights,2,"268,800","15,372,000",1,0,Can't be traded on market.
97d6daa1-5164-4c04-8ffa-d7e6e4cb3508,Purified water canister (Superwater),Provisions,Household materials,4,"31,500","117,725",0,0,Used to make moonshine in Booze Generator.
88307b34-6e23-49b0-9808-c4080ed4afe4,GPNVG-18 Night Vision goggles (GPNVG-18),Sights,Special sights,2,"81,202","145,004",99,0,Can't be traded on market.
4a80b831-9b65-4f2d-98c3-5b761974110f,T H I C C Weapon case (T H I C C),Containers,Container,10,"850,500","7,964,422",,0,
69353123-f9ec-4755-9c86-f197af469063,Lucky Scav Junk box (Junk),Containers,Container,16,"765,619","1,114,655",0,0,
547b6be2-7836-4e82-acf3-bea5dd51ef17,Conference room key (Conf.),Keys,Info items,1,"23,310","44,042",1,1,
a9631fe0-b149-44b6-a094-e8a46f47f661,Convenience store storage room (Store),Keys,Mechanical Key,1,"9,891","19,064",,0,
00108042-0e8d-4c68-9829-c536446d5abd,Money case (Money),Containers,Container,6,"250,867","398,201",,0,
41256d08-0e11-418a-9c61-218046eeafb9,"""Zarya"" stun grenade (Zarya)",Weapon,Flashbang,1,"3,357","7,890",0,0,Stun grenade
0080307d-3596-440c-be38-bdded3cbf4cf,Ammunition case (Ammo),Containers,Container,4,"102,408","198,332",,0,
09e22fbe-fd90-4aad-81ea-11b7a9ebdc2b,Intelligence folder (Intelligence),Barter,Info items,2,302,"185,084",4,4,"1 needs to be obtained for the Intelligence Center level 1
3 need to be obtained for the Intelligence Center level 2"
5ac84494-465a-424a-b36e-fe22869ba5ec,Physical bitcoin (0.2BTC),Barter,Valuables,1,"110,261","111,662",0,0,Can't be traded on market.
dd066bf7-377a-446a-8de7-6e6ee1321772,Documents case (Docs),Containers,Container,2,"105,505","405,047",,0,
4e17db7f-678f-46ff-9502-ce9e79d566bb,Medicine case (Medicine),Containers,Container,9,"230,647","734,972",,0,
8a44cb7c-38c3-4b9c-aba8-893180091bdf,Bronze lion (Lion),Barter,Valuables,6,"102,649","110,637",2,1,2 need to be found in raid for the quest Living High is Not a Crime - Part 1
44ae1d9d-1bf6-4015-9995-a9cb2fea53fb,T H I C C item case (T H I C C),Containers,Container,15,"1,953,000","3,100,000",,0,
e3b8def9-0e7e-4683-803e-aede32ea7854,Cottage back door key (Cottage),Keys,Mechanical Key,1,"14,566","238,703",1,0,Key to the cottage on Shoreline.
fb7e9a19-7029-4076-83a6-f913c3c8e9f8,"""Fierce Hatchling"" moonshine (Moonshine)",Provisions,Drinks,2,"126,000","241,482",3,4,3 need to be obtained for the Scav Case
c760ea3c-b3b6-4b9f-83d7-5302b3f084f7,Graphics card (GPU),Barter,Electronics,2,"124,740","177,522",99,0,3 need to be found in raid or crafted for the quest Farming - Part 4
e2b6d801-51f5-49d2-b6da-b8cb526d8a62,Key tool (Key tool),Containers,Container,1,"471,525","926,522",,0,
8218090f-1dbb-4b97-b2d0-6bb23710a59c,Cottage safe key (Safe),Keys,Mechanical Key,1,"17,735","74,045",1,1,Key to the safe of the Shoreline weather station.
7dcee9c6-2886-42a8-8c13-8ba3affb5141,Corrugated hose (Hose),Barter,Building materials,2,"7,687","20,973",4,4,2 need to be found in raid for the quest Spa Tour - Part 3; 2 need to be found in raid for the quest Spa Tour - Part 7
28ac76b3-69dd-4db9-9b09-6ac2c6d496ab,S I C C organizational pouch (S I C C),Containers,Container,2,"472,500","750,000",,0,
b888fad6-7f3a-412c-b272-f59cde556263,Magazine case (Magazines),Containers,Container,6,"148,050","180,413",2,0,
ea881417-c0de-4d57-941f-bfdff1a2f307,Dorm guard desk key (GDesk),Keys,Mechanical Key,1,"8,946","9,404",1,1,
17fbeddf-058f-4910-a544-adc1375da7b1,Dorm room 103 key (Dorm 103),Keys,Mechanical Key,1,"2,339","4,354",1,1,"A key to the three-story dormitory with a tag reading ""103"" on it."
2fe40ae1-e0e5-4efa-adb4-1bb215979483,Dorm room 104 key (Dorm 104),Keys,Mechanical Key,1,"11,340","12,002",1,1,Just access to a room.
a13c686c-7360-413e-87c7-594bedb5ce90,Dorm room 105 key (Dorm 105),Keys,Mechanical Key,1,677,"8,513",1,1,One Safe
01da4b32-c57f-4c85-bcdf-a3c7a796cad4,Car battery (Car batt.),Barter,Energy elements,6,"38,785","42,403",8,3,"4 need to be found in raid or crafted for the quest Car Repair
1 needs to be obtained for the Vents level 2
4 need to be obtained for the Vents level 3"
0e60570c-edea-4527-ac38-a285a570d95d,FP-100 filter absorber (FP-100),Barter,Others,9,"51,660","86,767",1,1,Used to run the air filtering unit
